Date,Close,High,Low,Open,Volume,"('Close', 'BTC-JPY')","('High', 'BTC-JPY')","('Low', 'BTC-JPY')","('Open', 'BTC-JPY')","('Volume', 'BTC-JPY')"
2014-09-17,49639.03515625,50192.9375,48992.77734375,49912.671875,2285505072.0,,,,,
2014-09-18,46179.07421875,49564.73828125,44929.19140625,49587.58203125,3751772160.0,,,,,
2014-09-19,43036.7109375,46711.0234375,41829.390625,46142.40625,4133626497.0,,,,,
2014-09-20,44574.625,46143.49609375,42501.14453125,43023.3046875,4018501036.0,,,,,
2014-09-21,43451.55078125,44958.55859375,42860.66015625,44485.34375,2895901895.0,,,,,
2014-09-22,43721.96484375,44313.15234375,43291.140625,43481.9453125,2623152672.0,,,,,
2014-09-23,47300.75390625,48067.89453125,42920.01953125,43715.4453125,4895099730.0,,,,,
2014-09-24,46264.76953125,47374.84765625,45713.87890625,47296.4140625,3348220164.0,,,,,
2014-09-25,44688.70703125,46256.8515625,44529.64453125,46259.4140625,2911507552.0,,,,,
2014-09-26,44191.51953125,45066.4140625,43640.98046875,44672.9609375,2345021616.0,,,,,
2014-09-27,43655.55078125,44431.6953125,43420.83984375,44096.5625,1642251611.0,,,,,
2014-09-28,41263.6015625,43819.12890625,40925.71875,43650.1953125,2583295020.0,,,,,
2014-09-29,41076.08984375,42103.5625,40775.16796875,41235.92578125,3555248380.0,,,,,
2014-09-30,42424.5390625,42870.625,40835.9921875,41144.02734375,3805308372.0,,,,,
2014-10-01,41814.03515625,43000.80859375,41604.0234375,42477.49609375,2859004600.0,,,,,
2014-10-02,40695.3125,41922.80078125,40412.4296875,41854.69140625,2362880450.0,,,,,
2014-10-03,39456.44140625,41149.87109375,39275.02734375,40707.13671875,3391406700.0,,,,,
2014-10-04,36093.04296875,40002.44921875,35765.98828125,39498.1484375,5184205875.0,,,,,
2014-10-05,35188.79296875,37512.66015625,31750.234375,36098.53125,9146395860.0,,,,,
2014-10-06,35932.40234375,37678.27734375,33151.5,35175.5078125,8601224548.0,,,,,
2014-10-07,36325.0078125,37022.02734375,34807.55078125,35987.375,5316049195.0,,,,,
2014-10-08,38170.4609375,38324.46875,35460.6328125,36317.33203125,5919730845.0,,,,,
2014-10-09,39357.1015625,41368.85546875,37491.08984375,38149.6953125,9018183833.0,,,,,
2014-10-10,38922.15234375,40402.21484375,38081.1796875,39320.5546875,4700612605.0,,,,,
2014-10-11,39001.48828125,39528.11328125,38318.125,38900.62109375,1436610780.0,,,,,
2014-10-12,40629.6640625,40701.78125,38338.90234375,39034.53515625,1883942024.0,,,,,
2014-10-13,41793.8203125,42491.265625,39542.0703125,40562.26171875,3770450870.0,,,,,
2014-10-14,43017.359375,44113.44140625,41906.88671875,41930.62890625,4130522865.0,,,,,
2014-10-15,41849.88671875,43134.82421875,41170.3203125,43026.48046875,2678565271.0,,,,,
2014-10-16,40715.43359375,42269.5546875,39664.8046875,41822.85546875,2872545700.0,,,,,
2014-10-17,41004.54296875,41188.32421875,39993.9453125,40736.72265625,1453234795.0,,,,,
2014-10-18,41825.578125,42222.6328125,40493.05078125,41027.8359375,1219885080.0,,,,,
2014-10-19,41739.8515625,42092.3828125,41292.9296875,41805.48828125,633746176.0,,,,,
2014-10-20,40918.47265625,41785.80078125,40476.74609375,41706.1015625,1754862720.0,,,,,
2014-10-21,41356.69140625,41918.88671875,40657.83984375,40873.15625,1518354189.0,,,,,
2014-10-22,41055.37890625,41542.66015625,40896.8203125,41318.48828125,1247365295.0,,,,,
2014-10-23,38766.3828125,41265.59375,38596.08203125,41034.37890625,2861578304.0,,,,,
2014-10-24,38751.4296875,39334.6875,38164.00390625,38785.203125,1685437598.0,,,,,
2014-10-25,37553.88671875,38915.3671875,37078.71875,38780.19140625,1960307850.0,,,,,
2014-10-26,38368.33203125,38846.16015625,37192.69921875,37577.2421875,1219346325.0,,,,,
2014-10-27,38066.3359375,38639.01171875,37765.37890625,38376.23046875,1405478720.0,,,,,
2014-10-28,38665.66015625,38899.87109375,38022.3203125,38090.70703125,848296546.0,,,,,
2014-10-29,36522.3671875,38685.328125,36471.90234375,38608.4609375,1979911541.0,,,,,
2014-10-30,37717.6640625,38319.69921875,36640.12109375,36535.2109375,3296332017.0,,,,,
2014-10-31,37986.68359375,38034.359375,37729.5625,37685.33203125,1408597512.0,,,,,
2014-11-01,36575.09765625,38234.59375,36048.0546875,38023.62109375,1872516016.0,,,,,
2014-11-02,36770.39453125,36945.734375,35999.88671875,36611.703125,970746445.0,,,,,
2014-11-03,37242.88671875,37648.70703125,36665.43359375,36733.94921875,1472244450.0,,,,,
2014-11-04,37514.1484375,37642.28515625,36840.9765625,37198.20703125,1777055805.0,,,,,
2014-11-05,38922.0703125,39391.2890625,37542.44140625,37535.828125,2272041980.0,,,,,
2014-11-06,40227.73046875,40647.56640625,38752.93359375,38918.859375,2164850490.0,,,,,
2014-11-07,39216.7890625,40680.58203125,39184.6171875,40288.5390625,1928020926.0,,,,,
2014-11-08,39568.7421875,39745.578125,39186.8984375,39186.8984375,977567379.0,,,,,
2014-11-09,41600.99609375,41620.6328125,39427.52734375,39555.9140625,2772025312.0,,,,,
2014-11-10,42115.5390625,43032.625,40840.6171875,41486.58984375,3495062478.0,,,,,
2014-11-11,42553.34375,42834.3203125,42076.86328125,41993.06640625,1833035897.0,,,,,
2014-11-12,48955.1796875,49580.86328125,42546.42578125,42586.90234375,5291622256.0,,,,,
2014-11-13,48716.90234375,52894.80078125,46413.94140625,49384.21484375,6825241550.0,,,,,
2014-11-14,46254.296875,48624.84765625,44777.89453125,48448.50390625,3440336284.0,,,,,
2014-11-15,43732.984375,47150.7421875,43137.1015625,46467.3046875,1828636425.0,,,,,
2014-11-16,45331.76953125,45438.19921875,43554.97265625,43569.859375,1391407472.0,,,,,
2014-11-17,45175.64453125,47537.9609375,43975.2109375,45386.34765625,4841507268.0,,,,,
2014-11-18,43841.88671875,45793.3125,43283.375,45219.609375,3765199125.0,,,,,
2014-11-19,44951.15625,45361.2734375,43723.3984375,43689.74609375,2236224216.0,,,,,
2014-11-20,42314.578125,45151.53515625,42196.48828125,44921.86328125,2983825900.0,,,,,
2014-11-21,41319.3671875,42290.5625,40536.39453125,42319.19140625,3515446277.0,,,,,
2014-11-22,41563.390625,42967.32421875,41322.90234375,41408.40234375,1798701210.0,,,,,
2014-11-23,43292.74609375,43707.79296875,41593.41796875,41593.41796875,1784555448.0,,,,,
2014-11-24,44643.921875,45791.33984375,43241.27734375,43219.13671875,3663670345.0,,,,,
2014-11-25,44215.9921875,46602.34765625,44205.7734375,44642.14453125,2997091160.0,,,,,
2014-11-26,43323.99609375,44496.6015625,43016.3046875,44295.0390625,2187745937.0,,,,,
2014-11-27,43573.00390625,43895.44140625,43405.71875,43574.7421875,1031130296.0,,,,,
2014-11-28,44650.37890625,45408.41796875,42369.37890625,43538.11328125,2721684365.0,,,,,
2014-11-29,44536.98828125,45973.35546875,44140.1171875,44615.390625,1823699916.0,,,,,
2014-11-30,44927.10546875,45371.52734375,44278.1796875,44539.2421875,1092667250.0,,,,,
2014-12-01,44868.4765625,45609.73828125,44770.87890625,44951.109375,1391680530.0,,,,,
2014-12-02,45448.93359375,45662.1171875,44769.2109375,44869.06640625,1473677079.0,,,,,
2014-12-03,44944.94921875,45664.359375,44663.22265625,45497.4453125,1598810985.0,,,,,
2014-12-04,44278.55859375,45400.734375,44068.5625,45029.80078125,1740646080.0,,,,,
